schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
guided,16,1000000,3,4.65051,2.92393
dynamic,32,1000,3,3.56733,3.06207
dynamic,32,10000,3,3.80954,3.49805
dynamic,32,100000,3,4.32347,6.05774
dynamic,32,1000000,3,5.08099,5.02752
static,32,1000,3,3.91211,5.8392
static,32,10000,3,4.19926,6.36418
static,32,100000,3,5.22469,5.41707
static,32,1000000,3,6.98376,2.96599
guided,32,1000,3,4.52162,8.16473
guided,32,10000,3,5.50502,3.72808
guided,32,100000,3,3.52531,3.5627
guided,32,1000000,3,5.30617,3.70504
sequential,0,0,4,5.63248,1.49134
dynamic,1,1000,4,3.50018,3.55098
dynamic,1,10000,4,5.02219,4.61582
dynamic,1,100000,4,6.09279,5.83991
dynamic,1,1000000,4,3.84702,5.98325
static,1,1000,4,3.50592,7.2616
static,1,10000,4,7.62533,3.24732
static,1,100000,4,7.79723,3.75802
static,1,1000000,4,3.30866,4.89991
guided,1,1000,4,6.22209,4.80913
guided,1,10000,4,4.20519,4.0672
guided,1,100000,4,3.33377,4.02431
guided,1,1000000,4,5.35716,3.45265
dynamic,2,1000,4,4.67553,3.8211
dynamic,2,10000,4,8.70567,6.8833
dynamic,2,100000,4,3.52112,3.83869
dynamic,2,1000000,4,4.07746,7.54727
static,2,1000,4,4.64858,4.59731
static,2,10000,4,5.98024,5.54908
static,2,100000,4,6.10604,5.19586
static,2,1000000,4,4.24596,7.11539
guided,2,1000,4,4.38627,5.5809
guided,2,10000,4,4.62476,5.30797
guided,2,100000,4,20.3839,5.43718
guided,2,1000000,4,5.55866,23.5868
dynamic,4,1000,4,6.53018,4.62883
dynamic,4,10000,4,5.17373,4.70936
dynamic,4,100000,4,7.01311,10.7163
dynamic,4,1000000,4,4.78537,5.26529
static,4,1000,4,4.34668,5.38093
static,4,10000,4,8.21555,14.3734
static,4,100000,4,8.95224,6.41517
static,4,1000000,4,5.90239,5.75725
guided,4,1000,4,4.64384,5.77018
guided,4,10000,4,4.42489,4.32073
guided,4,100000,4,4.18241,3.96665
guided,4,1000000,4,4.27006,5.87089
dynamic,8,1000,4,5.85447,7.52096
dynamic,8,10000,4,11.7154,5.58904
dynamic,8,100000,4,6.24027,9.38404
dynamic,8,1000000,4,13.5166,14.2869
