schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
static,1,1000,5,20.7252,3.10057
static,1,10000,5,15.5041,3.33175
static,1,100000,5,18.2624,3.03709
static,1,1000000,5,20.1116,3.49847
guided,1,1000,5,20.2147,3.43597
guided,1,10000,5,14.7953,3.34388
guided,1,100000,5,18.4543,3.59765
guided,1,1000000,5,20.1511,3.15754
dynamic,2,1000,5,11.9662,3.11441
dynamic,2,10000,5,9.0158,2.94132
dynamic,2,100000,5,11.0188,3.59691
dynamic,2,1000000,5,12.0814,4.83386
static,2,1000,5,12.2137,3.2571
static,2,10000,5,9.69609,6.08386
static,2,100000,5,13.0195,3.67673
static,2,1000000,5,14.1102,2.84208
guided,2,1000,5,12.3576,3.19391
guided,2,10000,5,12.6466,2.90429
guided,2,100000,5,12.9647,2.71527
guided,2,1000000,5,12.4412,2.71999
dynamic,4,1000,5,7.55676,6.00011
dynamic,4,10000,5,6.01708,2.98466
dynamic,4,100000,5,6.65761,2.6683
dynamic,4,1000000,5,7.49772,2.62351
static,4,1000,5,7.55599,3.2347
static,4,10000,5,6.79768,3.19584
static,4,100000,5,6.8683,2.92266
static,4,1000000,5,7.37637,2.73497
guided,4,1000,5,7.48392,2.88924
guided,4,10000,5,5.81254,2.89212
guided,4,100000,5,6.70612,2.72875
guided,4,1000000,5,7.29305,2.55457
dynamic,8,1000,5,5.03672,3.15982
dynamic,8,10000,5,4.19045,2.73599
dynamic,8,100000,5,4.65003,2.65932
dynamic,8,1000000,5,5.26814,2.66139
static,8,1000,5,5.43724,3.10142
static,8,10000,5,4.26745,2.75803
static,8,100000,5,4.71333,2.76165
static,8,1000000,5,5.46641,3.68767
guided,8,1000,5,4.95765,3.03189
guided,8,10000,5,4.24838,2.66025
guided,8,100000,5,4.45167,2.67303
guided,8,1000000,5,5.15549,2.59799
dynamic,16,1000,5,3.95588,3.28425
dynamic,16,10000,5,4.03752,2.73997
dynamic,16,100000,5,3.66438,2.60111
dynamic,16,1000000,5,5.29134,2.78565
static,16,1000,5,3.9896,3.02357
static,16,10000,5,3.43153,2.81558
static,16,100000,5,3.47628,2.60173
static,16,1000000,5,4.83689,2.66136
guided,16,1000,5,3.80558,2.82279
guided,16,10000,5,3.28768,2.72563
guided,16,100000,5,4.35479,2.85379
guided,16,1000000,5,5.02015,2.58097
dynamic,32,1000,5,3.90846,3.15812
dynamic,32,10000,5,3.36555,3.15101
dynamic,32,100000,5,4.07337,3.25004
dynamic,32,1000000,5,7.97303,4.05122
static,32,1000,5,8.30825,4.64024
static,32,10000,5,6.31622,3.66633
static,32,100000,5,6.12868,6.68653
static,32,1000000,5,10.4182,2.83061
guided,32,1000,5,3.84573,3.00899
guided,32,10000,5,3.27456,2.73621
guided,32,100000,5,3.60619,2.63306
guided,32,1000000,5,7.35317,2.62041
