
schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
static,8,100000,4,3.82116,3.95806
static,8,1000000,4,3.90617,4.91649
guided,8,1000,4,4.01673,3.1437
guided,8,10000,4,3.49004,3.30066
guided,8,100000,4,3.46704,3.32427
guided,8,1000000,4,3.70495,3.31548
dynamic,16,1000,4,3.52574,3.17439
dynamic,16,10000,4,4.30344,3.83228
dynamic,16,100000,4,3.44917,3.21479
dynamic,16,1000000,4,4.69503,3.18473
static,16,1000,4,3.96012,3.08336
static,16,10000,4,4.84686,4.88703
static,16,100000,4,3.44796,4.76384
static,16,1000000,4,4.22588,3.17404
guided,16,1000,4,3.95933,4.02753
guided,16,10000,4,3.56629,3.22312
guided,16,100000,4,4.2222,3.95145
guided,16,1000000,4,3.40639,5.81734
dynamic,32,1000,4,3.9112,4.54945
dynamic,32,10000,4,4.64294,5.60426
dynamic,32,100000,4,4.99274,4.27431
dynamic,32,1000000,4,5.01317,4.59678
static,32,1000,4,3.74214,3.6496
static,32,10000,4,3.49738,3.73003
static,32,100000,4,4.81011,6.23786
static,32,1000000,4,3.48579,5.14876
guided,32,1000,4,3.6757,3.21781
guided,32,10000,4,7.86527,3.57692
guided,32,100000,4,4.50027,7.40887
guided,32,1000000,4,4.43543,6.64639
sequential,0,0,5,9.48247,4.03988
dynamic,1,1000,5,6.25085,4.21205
dynamic,1,10000,5,4.41656,4.0211
dynamic,1,100000,5,4.75987,4.91476
dynamic,1,1000000,5,4.93895,4.23064
static,1,1000,5,4.56895,3.84243
static,1,10000,5,3.94938,4.48846
static,1,100000,5,5.12114,4.67235
static,1,1000000,5,4.27591,4.30981
guided,1,1000,5,4.1931,4.23232
guided,1,10000,5,4.05792,4.50459
guided,1,100000,5,4.07983,4.13948
guided,1,1000000,5,4.15709,4.29835
dynamic,2,1000,5,4.14982,4.01949
dynamic,2,10000,5,4.68328,4.05793
dynamic,2,100000,5,3.93373,8.54991
dynamic,2,1000000,5,5.19855,5.22241
static,2,1000,5,10.6887,7.04622
static,2,10000,5,4.45914,5.68519
static,2,100000,5,6.00533,4.80788
static,2,1000000,5,4.9074,6.13255
guided,2,1000,5,7.39962,4.74574
guided,2,10000,5,4.47944,4.45972
guided,2,100000,5,4.7844,4.47066
guided,2,1000000,5,4.37215,4.54606
dynamic,4,1000,5,4.78342,4.4912
dynamic,4,10000,5,4.36848,4.33693
dynamic,4,100000,5,4.57186,7.05252
dynamic,4,1000000,5,10.324,5.68445
static,4,1000,5,3.89107,4.30505
static,4,10000,5,3.91557,5.47414
static,4,100000,5,3.84818,5.60965
static,4,1000000,5,3.70302,4.15599
guided,4,1000,5,5.65484,13.1325
guided,4,10000,5,3.81432,3.59187
guided,4,100000,5,4.10059,3.62666
guided,4,1000000,5,5.50793,5.42914
dynamic,8,1000,5,6.9185,3.86558
dynamic,8,10000,5,6.86857,12.0362
dynamic,8,100000,5,7.4206,9.05673
dynamic,8,1000000,5,5.76514,3.65012
static,8,1000,5,4.42238,3.81756
static,8,10000,5,5.62402,8.35038
static,8,100000,5,7.57593,4.84182
static,8,1000000,5,5.30606,5.18749
guided,8,1000,5,5.47108,5.0829
guided,8,10000,5,7.4771,3.80266
guided,8,100000,5,3.59464,3.96936
guided,8,1000000,5,6.39261,3.98324
dynamic,16,1000,5,9.31445,8.17615
dynamic,16,10000,5,5.92652,6.96786
dynamic,16,100000,5,4.12512,3.11407
dynamic,16,1000000,5,3.47215,3.10795
static,16,1000,5,5.49049,4.28226
static,16,10000,5,4.90718,5.1929
static,16,100000,5,4.17061,3.41286
static,16,1000000,5,4.36858,7.32295
guided,16,1000,5,3.3651,3.57678
guided,16,10000,5,4.3933,3.71226
guided,16,100000,5,3.36154,5.40847
guided,16,1000000,5,3.4009,4.78
dynamic,32,1000,5,4.2356,4.9075
dynamic,32,10000,5,5.25116,4.11527
dynamic,32,100000,5,4.58334,4.40198
dynamic,32,1000000,5,4.84069,4.32747
static,32,1000,5,5.513,4.10897
static,32,10000,5,4.93813,4.27868
static,32,100000,5,4.50325,4.21468
static,32,1000000,5,4.87752,3.91669
guided,32,1000,5,4.2371,3.86439
guided,32,10000,5,3.90078,3.68487
guided,32,100000,5,4.07527,3.69895
guided,32,1000000,5,4.30703,3.86765
