schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
guided,8,1000,3,6.07283,3.75959
guided,8,10000,3,7.94086,5.09399
guided,8,100000,3,6.37022,3.03505
guided,8,1000000,3,5.27792,3.4576
dynamic,16,1000,3,4.57966,5.46415
dynamic,16,10000,3,11.4852,8.18748
dynamic,16,100000,3,7.87725,5.5719
dynamic,16,1000000,3,9.59719,4.55626
static,16,1000,3,7.92212,9.57251
static,16,10000,3,6.50459,5.10157
static,16,100000,3,6.0793,3.03798
static,16,1000000,3,7.46744,3.75968
guided,16,1000,3,4.33126,4.55728
guided,16,10000,3,4.78709,2.8636
guided,16,100000,3,3.81943,4.30591
guided,16,1000000,3,4.76666,3.26015
dynamic,32,1000,3,5.29855,3.34283
dynamic,32,10000,3,4.43339,3.12421
dynamic,32,100000,3,3.30475,3.30859
dynamic,32,1000000,3,4.08129,2.59553
static,32,1000,3,4.09258,3.77546
static,32,10000,3,3.7383,2.89687
static,32,100000,3,3.32363,5.20832
static,32,1000000,3,3.89177,2.95647
guided,32,1000,3,4.00464,5.11779
guided,32,10000,3,4.0149,3.03197
guided,32,100000,3,3.67696,3.24745
guided,32,1000000,3,3.91584,2.89361
sequential,0,0,4,21.583,1.41262
dynamic,1,1000,4,21.0871,3.33692
dynamic,1,10000,4,15.9635,3.92337
dynamic,1,100000,4,19.7046,3.03149
dynamic,1,1000000,4,21.1394,4.19995
static,1,1000,4,22.6042,3.87612
static,1,10000,4,16.4765,3.29461
static,1,100000,4,18.6299,3.80048
static,1,1000000,4,21.2677,4.83842
guided,1,1000,4,22.2756,4.29359
guided,1,10000,4,15.9392,2.92299
guided,1,100000,4,21.8043,6.28145
guided,1,1000000,4,23.0266,3.18672
dynamic,2,1000,4,13.8961,5.59878
dynamic,2,10000,4,10.3302,2.85143
dynamic,2,100000,4,11.4101,4.51791
dynamic,2,1000000,4,12.0159,2.76466
static,2,1000,4,17.5746,3.40058
static,2,10000,4,10.0015,5.0041
static,2,100000,4,11.5312,2.79511
static,2,1000000,4,13.7096,6.11958
guided,2,1000,4,13.1422,8.0886
guided,2,10000,4,9.50842,3.1845
guided,2,100000,4,11.9352,3.6542
guided,2,1000000,4,12.0453,3.68635
dynamic,4,1000,4,9.72221,4.09177
dynamic,4,10000,4,6.03968,3.66056
dynamic,4,100000,4,7.27547,3.56737
dynamic,4,1000000,4,9.43605,2.77058
static,4,1000,4,8.63464,3.8808
static,4,10000,4,6.92933,2.93866
static,4,100000,4,7.29232,3.07263
static,4,1000000,4,7.69395,2.80505
guided,4,1000,4,8.01311,3.35437
guided,4,10000,4,5.85745,2.99644
guided,4,100000,4,6.87236,3.09413
guided,4,1000000,4,8.02639,3.40842
dynamic,8,1000,4,6.0796,3.16395
dynamic,8,10000,4,4.85505,2.99806
dynamic,8,100000,4,5.11712,3.69193
dynamic,8,1000000,4,4.93189,3.65189
static,8,1000,4,5.52824,3.36024
static,8,10000,4,4.76322,3.08267
static,8,100000,4,5.64154,2.80828
static,8,1000000,4,6.01349,3.16712
guided,8,1000,4,5.50546,3.97689
guided,8,10000,4,4.40669,3.3874
guided,8,100000,4,5.15196,2.6889
guided,8,1000000,4,5.36128,2.64536
dynamic,16,1000,4,3.88226,3.80285
dynamic,16,10000,4,3.93584,2.65678
dynamic,16,100000,4,4.60911,3.2168
dynamic,16,1000000,4,4.54673,3.7362
static,16,1000,4,4.60709,3.04585
static,16,10000,4,3.92588,3.45742
static,16,100000,4,3.8145,3.04673
static,16,1000000,4,5.28996,2.82421
guided,16,1000,4,5.01833,3.56764
guided,16,10000,4,3.96223,4.09064
guided,16,100000,4,3.81798,2.6998
guided,16,1000000,4,4.14157,3.62522
dynamic,32,1000,4,3.89625,3.30396
dynamic,32,10000,4,4.08574,2.83489
dynamic,32,100000,4,4.02994,5.63128
dynamic,32,1000000,4,5.05601,4.57875
static,32,1000,4,7.09075,3.87538
static,32,10000,4,3.45661,3.75123
static,32,100000,4,3.89167,2.95464
static,32,1000000,4,4.66223,4.06954
guided,32,1000,4,7.54175,3.98958
guided,32,10000,4,3.76523,2.95988
guided,32,100000,4,4.54128,3.49828
guided,32,1000000,4,3.62756,2.90938
sequential,0,0,5,21.1633,1.54506
dynamic,1,1000,5,20.1673,3.33802
dynamic,1,10000,5,16.5085,3.72517
dynamic,1,100000,5,19.938,6.7931
dynamic,1,1000000,5,21.5825,3.82652
static,1,1000,5,23.9427,4.94446
static,1,10000,5,17.5801,3.70386
static,1,100000,5,19.3003,4.01657
static,1,1000000,5,21.6433,4.77413
guided,1,1000,5,20.9503,4.29182
guided,1,10000,5,14.872,3.32606
guided,1,100000,5,19.537,4.46656
guided,1,1000000,5,19.7034,3.05936
dynamic,2,1000,5,12.109,3.07549
dynamic,2,10000,5,9.05966,2.7318
dynamic,2,100000,5,10.9157,2.66663
dynamic,2,1000000,5,11.9379,2.65008
static,2,1000,5,12.0772,2.81651
static,2,10000,5,8.97213,2.73383
static,2,100000,5,10.7679,2.64085
static,2,1000000,5,11.6489,2.66119
guided,2,1000,5,12.5219,3.68909
guided,2,10000,5,9.06164,2.66548
guided,2,100000,5,10.7504,2.64169
guided,2,1000000,5,12.083,2.72084
dynamic,4,1000,5,7.28098,2.82914
dynamic,4,10000,5,5.72231,2.59248
dynamic,4,100000,5,6.63038,2.61825
dynamic,4,1000000,5,7.22501,2.57209
static,4,1000,5,7.32333,2.85536
static,4,10000,5,5.71836,2.63481
static,4,100000,5,6.70025,2.58859
static,4,1000000,5,7.02536,2.5432
guided,4,1000,5,7.5198,2.76561
guided,4,10000,5,5.72468,2.64462
guided,4,100000,5,6.67249,2.5836
guided,4,1000000,5,7.06796,2.64943
dynamic,8,1000,5,4.91678,2.92157
dynamic,8,10000,5,4.11625,2.67382
dynamic,8,100000,5,4.43227,2.63444
dynamic,8,1000000,5,4.81841,2.58765
static,8,1000,5,5.03023,2.98219
static,8,10000,5,4.07895,2.83997
static,8,100000,5,6.88393,2.55171
static,8,1000000,5,4.80054,2.61136
guided,8,1000,5,5.24341,2.72491
guided,8,10000,5,4.02409,2.55316
guided,8,100000,5,4.4906,2.60799
guided,8,1000000,5,4.71985,2.58295
dynamic,16,1000,5,3.90559,2.87363
dynamic,16,10000,5,3.44463,2.63233
dynamic,16,100000,5,3.5003,2.68085
dynamic,16,1000000,5,3.86036,2.55929
static,16,1000,5,3.81896,3.20077
static,16,10000,5,3.3088,2.69117
static,16,100000,5,3.64901,2.58968
static,16,1000000,5,3.64564,2.6152
guided,16,1000,5,3.81252,3.28538
guided,16,10000,5,3.25461,2.63288
guided,16,100000,5,3.53887,2.61168
guided,16,1000000,5,3.70523,2.54288
dynamic,32,1000,5,3.8249,2.98965
dynamic,32,10000,5,3.22015,2.66098
dynamic,32,100000,5,3.2727,2.6744
dynamic,32,1000000,5,3.51409,2.57045
static,32,1000,5,3.77252,3.00494
static,32,10000,5,3.16267,2.66486
static,32,100000,5,3.26372,2.58159
static,32,1000000,5,3.34284,2.6589
guided,32,1000,5,3.90397,2.98995
guided,32,10000,5,3.22383,2.66146
guided,32,100000,5,3.33848,2.62139
guided,32,1000000,5,3.45844,2.67278
